CODE;X_LONG;Y_LAT
CARZO_151;-70.66750319;-17.43465171
CARZO_152;-70.66747544;-17.4345404
CARZO_153;-70.66727218;-17.4342788
CARZO_154;-70.66651152;-17.43417906
CARZO_155;-70.66616653;-17.43383255
CARZO_156;-70.66619653;-17.433781
CARZO_157;-70.66604951;-17.43372451
CARZO_158;-70.66608103;-17.43366944
CARZO_159;-70.66535993;-17.43352192
CARZO_160;-70.66537754;-17.43356424
CARZO_161;-70.66537133;-17.4335655
CARZO_162;-70.66525885;-17.43348545
CARZO_163;-70.66515223;-17.43312637
CARZO_164;-70.66512457;-17.43310969
CARZO_165;-70.66504905;-17.43309519
CARZO_166;-70.66507084;-17.43307499
CARZO_167;-70.66329044;-17.43207294
CARZO_168;-70.66330268;-17.43207319
CARZO_169;-70.66332296;-17.43205265
CARZO_170;-70.66332364;-17.43204989
CARZO_171;-70.66340209;-17.43205768
CARZO_172;-70.66340502;-17.4320845
CARZO_173;-70.66343277;-17.43208341
CARZO_174;-70.66342648;-17.43208081
CARZO_175;-70.66339907;-17.43208853
CARZO_176;-70.66338097;-17.43236756
CARZO_177;-70.66361097;-17.43239497
CARZO_178;-70.66363544;-17.43268808
CARZO_179;-70.66365866;-17.43270141
CARZO_180;-70.66378338;-17.43210663
CARZO_181;-70.66377517;-17.43214234
CARZO_182;-70.66379956;-17.43212113
CARZO_183;-70.66381507;-17.43212298
CARZO_184;-70.66381498;-17.43212407
CARZO_185;-70.66381959;-17.43215256
CARZO_186;-70.66384289;-17.43214904
CARZO_187;-70.66384507;-17.43214871
CARZO_188;-70.66384566;-17.43214862
CARZO_189;-70.66388849;-17.43218509
CARZO_190;-70.66392512;-17.43221032
CARZO_191;-70.66406418;-17.43204712
CARZO_192;-70.66435385;-17.4322793
CARZO_193;-70.6643531;-17.43258901
CARZO_194;-70.66464345;-17.43338269
CARZO_195;-70.66518182;-17.43383054
CARZO_196;-70.66504561;-17.43397563
CARZO_197;-70.66453314;-17.43335168
CARZO_198;-70.66450632;-17.43333508
CARZO_199;-70.66442099;-17.4333065
CARZO_200;-70.66281594;-17.43234124
CARZO_201;-70.66201891;-17.43210311
CARZO_202;-70.66176544;-17.43205257
CARZO_203;-70.66175329;-17.43202591
CARZO_204;-70.66169051;-17.43200588
CARZO_205;-70.66168204;-17.43199624
CARZO_206;-70.66167709;-17.43201016
CARZO_207;-70.66130653;-17.43176884
CARZO_208;-70.66126739;-17.43182165
CARZO_209;-70.66128432;-17.43182768
CARZO_210;-70.66128893;-17.43182668
CARZO_211;-70.66124023;-17.43180379
CARZO_212;-70.66126429;-17.43181335
CARZO_213;-70.66126445;-17.43181243
CARZO_214;-70.66134685;-17.43179717
CARZO_215;-70.66127837;-17.43177311
CARZO_216;-70.66127795;-17.43177303
CARZO_217;-70.65908222;-17.4307118
CARZO_218;-70.65907401;-17.4307175
CARZO_219;-70.65906546;-17.43069679
CARZO_220;-70.65906714;-17.43069277
CARZO_221;-70.65898282;-17.43070434
CARZO_222;-70.65898282;-17.43070434
CARZO_223;-70.70677768;-17.47418907
CARZO_224;-70.70682337;-17.47435494
CARZO_225;-70.7081659;-17.47365153
CARZO_226;-70.70817788;-17.47366352
CARZO_227;-70.70811669;-17.47362153
CARZO_228;-70.70801351;-17.47355204
CARZO_229;-70.70687517;-17.47351516
CARZO_230;-70.70698807;-17.47268091
CARZO_231;-70.70694566;-17.47212879
CARZO_232;-70.70566054;-17.47273908
CARZO_233;-70.70394519;-17.4713051
CARZO_234;-70.70174385;-17.47079507
CARZO_235;-70.70064121;-17.46918767
CARZO_236;-70.70061632;-17.46904015
CARZO_237;-70.70055513;-17.46903227
CARZO_238;-70.7006076;-17.46869766
CARZO_239;-70.70047441;-17.46856422
CARZO_240;-70.6996151;-17.4682333
CARZO_241;-70.69958484;-17.46821771
CARZO_242;-70.69940396;-17.46864025
CARZO_243;-70.69941351;-17.46865743
CARZO_244;-70.69969263;-17.4690756
CARZO_245;-70.69938384;-17.46832173
CARZO_246;-70.69907337;-17.46894845
CARZO_247;-70.69909098;-17.46897544
CARZO_248;-70.69902141;-17.46875298
CARZO_249;-70.69902082;-17.46875281
CARZO_250;-70.69909005;-17.46861896
CARZO_251;-70.69899199;-17.46862591
CARZO_252;-70.6986495;-17.46873613
CARZO_253;-70.69860508;-17.46872096
CARZO_254;-70.69881186;-17.46854905
CARZO_255;-70.69859385;-17.46836758
CARZO_256;-70.69858463;-17.46836138
CARZO_257;-70.69858572;-17.46832408
CARZO_258;-70.69820534;-17.46821118
CARZO_259;-70.69834624;-17.46811001
CARZO_260;-70.69834943;-17.46807748
CARZO_261;-70.69828279;-17.46808109
CARZO_262;-70.69828598;-17.46807262
CARZO_263;-70.69815237;-17.46786995
CARZO_264;-70.69792061;-17.46790515
CARZO_265;-70.69791692;-17.46792627
CARZO_266;-70.69790242;-17.46792351
CARZO_267;-70.69800694;-17.46766811
CARZO_268;-70.69802924;-17.46765269
CARZO_269;-70.69802958;-17.46764573
CARZO_270;-70.69806528;-17.46764607
CARZO_271;-70.6982641;-17.46749008
CARZO_272;-70.69847801;-17.46718314
CARZO_273;-70.69908829;-17.46714072
CARZO_274;-70.69908125;-17.46713092
CARZO_275;-70.69907891;-17.46712756
CARZO_276;-70.6990815;-17.46710409
CARZO_277;-70.69996529;-17.46588201
CARZO_278;-70.69988332;-17.46564304
CARZO_279;-70.7002476;-17.46575645
CARZO_280;-70.70024667;-17.4657588
CARZO_281;-70.70026536;-17.46568915
CARZO_282;-70.70033267;-17.46566651
CARZO_283;-70.70031985;-17.46577506
CARZO_284;-70.7003527;-17.46601688
CARZO_285;-70.70028925;-17.4660302
CARZO_286;-70.70080508;-17.46583222
CARZO_287;-70.70080776;-17.46583281
CARZO_288;-70.70078647;-17.46582644
CARZO_289;-70.70077473;-17.46578378
CARZO_290;-70.70084346;-17.46582024
CARZO_291;-70.70084799;-17.46581831
CARZO_292;-70.70097548;-17.46586064
CARZO_293;-70.70098453;-17.46585117
CARZO_294;-70.70099903;-17.46584924
CARZO_295;-70.70097447;-17.46590758
CARZO_296;-70.70156255;-17.46620329
CARZO_297;-70.70179003;-17.46614822
CARZO_298;-70.70178861;-17.4661473
CARZO_299;-70.70185214;-17.46627429
CARZO_300;-70.70071011;-17.46617672
CARZO_301;-70.70072226;-17.4660302
CARZO_302;-70.70065864;-17.46627219
CARZO_303;-70.70038397;-17.46625652
CARZO_304;-70.70037031;-17.46634763
CARZO_305;-70.70006101;-17.46754657
CARZO_306;-70.69999253;-17.46754054
CARZO_307;-70.70006965;-17.46771866
CARZO_308;-70.70057927;-17.46810892
CARZO_309;-70.70060072;-17.46811017
CARZO_310;-70.70127203;-17.46834076
CARZO_311;-70.70100398;-17.46940308
CARZO_312;-70.70120774;-17.46956041
CARZO_313;-70.70203537;-17.46935899
CARZO_314;-70.70203713;-17.46935438
CARZO_315;-70.70199916;-17.46897569
CARZO_316;-70.702431;-17.4700158
CARZO_317;-70.70269913;-17.47009233
CARZO_318;-70.70483224;-17.47149026
CARZO_319;-70.70628005;-17.47130108
CARZO_320;-70.70587512;-17.47073631
CARZO_321;-70.70592818;-17.47072382
CARZO_322;-70.70593564;-17.470727
CARZO_323;-70.70595433;-17.47075316
CARZO_324;-70.70599054;-17.47077302
CARZO_325;-70.70601778;-17.47077478
CARZO_326;-70.7060793;-17.47078911
CARZO_327;-70.70608953;-17.47079004
CARZO_328;-70.70609104;-17.4707861
CARZO_329;-70.70611493;-17.47073606
CARZO_330;-70.70614217;-17.4707141
CARZO_331;-70.70617276;-17.47074553
CARZO_332;-70.7062487;-17.47077168
CARZO_333;-70.70626446;-17.47076564
CARZO_334;-70.70626521;-17.47076581
CARZO_335;-70.70629665;-17.47075081
CARZO_336;-70.70635926;-17.4707467
CARZO_337;-70.70636965;-17.47074058
CARZO_338;-70.70659613;-17.47079171
CARZO_339;-70.70663352;-17.47079213
CARZO_340;-70.70664098;-17.4707752
CARZO_341;-70.70666243;-17.47075886
CARZO_342;-70.70669613;-17.47078149
CARZO_343;-70.7067367;-17.4707861
CARZO_344;-70.70683602;-17.47078895
CARZO_345;-70.70685103;-17.47080487
CARZO_346;-70.70691749;-17.47080697
CARZO_347;-70.70697131;-17.47263464
CARZO_348;-70.69773881;-17.46718213
CARZO_349;-70.69761031;-17.46694635
CARZO_350;-70.69758978;-17.46694475
CARZO_351;-70.69758366;-17.4669419
CARZO_352;-70.69758534;-17.46694023
CARZO_353;-70.69621623;-17.46749595
CARZO_354;-70.69636761;-17.4670709
CARZO_355;-70.69617483;-17.46701013
CARZO_356;-70.69577384;-17.46722488
CARZO_357;-70.69518208;-17.46665223
CARZO_358;-70.69501335;-17.46643262
CARZO_359;-70.69462334;-17.46608293
CARZO_360;-70.69455804;-17.46604973
CARZO_361;-70.69365657;-17.46566182
CARZO_362;-70.69362648;-17.4656837
CARZO_363;-70.69363645;-17.46562737
CARZO_364;-70.69326891;-17.46520031
CARZO_365;-70.69319154;-17.46500317
CARZO_366;-70.69285945;-17.46474953
CARZO_367;-70.69287848;-17.46469757
CARZO_368;-70.69305894;-17.46468659
CARZO_369;-70.69284118;-17.46396105
CARZO_370;-70.69231647;-17.46338957
CARZO_371;-70.69300588;-17.46374446
CARZO_372;-70.69327218;-17.46431351
CARZO_373;-70.69347829;-17.46433329
CARZO_374;-70.69353562;-17.46472808
CARZO_375;-70.69367132;-17.46479974
CARZO_376;-70.69517881;-17.4652729
CARZO_377;-70.69526556;-17.46527206
CARZO_378;-70.69526296;-17.46558814
CARZO_379;-70.69527922;-17.46560994
CARZO_380;-70.69527914;-17.46560985
CARZO_381;-70.69539095;-17.46566811
CARZO_382;-70.69539263;-17.46566417
CARZO_383;-70.69539548;-17.46567154
CARZO_384;-70.6955984;-17.46599911
CARZO_385;-70.69502751;-17.46492178
CARZO_386;-70.69512349;-17.46482933
CARZO_387;-70.69513933;-17.4648357
CARZO_388;-70.69515752;-17.46484064
CARZO_389;-70.69468486;-17.46499948
CARZO_390;-70.69466617;-17.46487828
CARZO_391;-70.69441823;-17.4648238
CARZO_392;-70.69439585;-17.46478683
CARZO_393;-70.69430675;-17.46453672
CARZO_394;-70.69436727;-17.46445533
CARZO_395;-70.6943666;-17.46443924
CARZO_396;-70.69436182;-17.46415232
CARZO_397;-70.69454513;-17.46401343
CARZO_398;-70.6948748;-17.46355067
CARZO_399;-70.69492366;-17.46356794
CARZO_400;-70.69479994;-17.46319804
CARZO_401;-70.69503313;-17.46296209
CARZO_402;-70.695083;-17.46230445
CARZO_403;-70.69564233;-17.46244711
CARZO_404;-70.69590108;-17.4624549
CARZO_405;-70.6960496;-17.46177362
CARZO_406;-70.69623007;-17.46177086
CARZO_407;-70.69686332;-17.46290753
CARZO_408;-70.69726322;-17.4635132
CARZO_409;-70.6975767;-17.46413841
CARZO_410;-70.69776538;-17.46440529
CARZO_411;-70.69755684;-17.46460654
CARZO_412;-70.69753278;-17.46457192
