"","ID","wc2.1_30s_bio_1","wc2.1_30s_bio_2","wc2.1_30s_bio_3","wc2.1_30s_bio_4","wc2.1_30s_bio_5","wc2.1_30s_bio_6","wc2.1_30s_bio_7","wc2.1_30s_bio_8","wc2.1_30s_bio_9","wc2.1_30s_bio_10","wc2.1_30s_bio_11","wc2.1_30s_bio_12","wc2.1_30s_bio_13","wc2.1_30s_bio_14","wc2.1_30s_bio_15","wc2.1_30s_bio_16","wc2.1_30s_bio_17","wc2.1_30s_bio_18","wc2.1_30s_bio_19","x","y"
"CARZO_46",47,18.1625003814697,11.3249998092651,77.0408172607422,121.694923400879,25.5,10.8000001907349,14.6999998092651,19.75,18.5,19.75,16.7000007629395,11,7,0,116.57600402832,11,0,11,0,-70.66619938,-17.43243713
"CARZO_47",48,18.1625003814697,11.3249998092651,77.0408172607422,121.694923400879,25.5,10.8000001907349,14.6999998092651,19.75,18.5,19.75,16.7000007629395,11,7,0,116.57600402832,11,0,11,0,-70.66620483,-17.43243956
"CARZO_48",49,18.1625003814697,11.3249998092651,77.0408172607422,121.694923400879,25.5,10.8000001907349,14.6999998092651,19.75,18.5,19.75,16.7000007629395,11,7,0,116.57600402832,11,0,11,0,-70.66620659,-17.43243998
"CARZO_49",50,18.1625003814697,11.3249998092651,77.0408172607422,121.694923400879,25.5,10.8000001907349,14.6999998092651,19.75,18.5,19.75,16.7000007629395,11,7,0,116.57600402832,11,0,11,0,-70.66622235,-17.43247418
"CARZO_50",51,18.1625003814697,11.3249998092651,77.0408172607422,121.694923400879,25.5,10.8000001907349,14.6999998092651,19.75,18.5,19.75,16.7000007629395,11,7,0,116.57600402832,11,0,11,0,-70.66650616,-17.43270158
"CARZO_51",52,18.1625003814697,11.3249998092651,77.0408172607422,121.694923400879,25.5,10.8000001907349,14.6999998092651,19.75,18.5,19.75,16.7000007629395,11,7,0,116.57600402832,11,0,11,0,-70.66650021,-17.43273779
"CARZO_52",53,17.7374992370605,11.7416667938232,78.8031311035156,113.099418640137,25.1000003814697,10.1999998092651,14.9000005722046,19.2000007629395,18.0166664123535,19.2000007629395,16.3666667938232,12,7,0,118.705131530762,12,0,12,0,-70.66675485,-17.43255733
"CARZO_53",54,17.7374992370605,11.7416667938232,78.8031311035156,113.099418640137,25.1000003814697,10.1999998092651,14.9000005722046,19.2000007629395,18.0166664123535,19.2000007629395,16.3666667938232,12,7,0,118.705131530762,12,0,12,0,-70.66676516,-17.43255464
"CARZO_54",55,17.7374992370605,11.7416667938232,78.8031311035156,113.099418640137,25.1000003814697,10.1999998092651,14.9000005722046,19.2000007629395,18.0166664123535,19.2000007629395,16.3666667938232,12,7,0,118.705131530762,12,0,12,0,-70.666752,-17.43279059
"CARZO_55",56,17.7374992370605,11.7416667938232,78.8031311035156,113.099418640137,25.1000003814697,10.1999998092651,14.9000005722046,19.2000007629395,18.0166664123535,19.2000007629395,16.3666667938232,12,7,0,118.705131530762,12,0,12,0,-70.6667251,-17.43282546
"CARZO_56",57,17.7374992370605,11.7416667938232,78.8031311035156,113.099418640137,25.1000003814697,10.1999998092651,14.9000005722046,19.2000007629395,18.0166664123535,19.2000007629395,16.3666667938232,12,7,0,118.705131530762,12,0,12,0,-70.666708,-17.43283426
"CARZO_57",58,17.7374992370605,11.7416667938232,78.8031311035156,113.099418640137,25.1000003814697,10.1999998092651,14.9000005722046,19.2000007629395,18.0166664123535,19.2000007629395,16.3666667938232,12,7,0,118.705131530762,12,0,12,0,-70.66669593,-17.43283921
"CARZO_58",59,17.7374992370605,11.7416667938232,78.8031311035156,113.099418640137,25.1000003814697,10.1999998092651,14.9000005722046,19.2000007629395,18.0166664123535,19.2000007629395,16.3666667938232,12,7,0,118.705131530762,12,0,12,0,-70.66670347,-17.43283963
"CARZO_59",60,17.7374992370605,11.7416667938232,78.8031311035156,113.099418640137,25.1000003814697,10.1999998092651,14.9000005722046,19.2000007629395,18.0166664123535,19.2000007629395,16.3666667938232,12,7,0,118.705131530762,12,0,12,0,-70.66676114,-17.43280828
"CARZO_60",61,17.7374992370605,11.7416667938232,78.8031311035156,113.099418640137,25.1000003814697,10.1999998092651,14.9000005722046,19.2000007629395,18.0166664123535,19.2000007629395,16.3666667938232,12,7,0,118.705131530762,12,0,12,0,-70.66676273,-17.43286561
"CARZO_61",62,17.7374992370605,11.7416667938232,78.8031311035156,113.099418640137,25.1000003814697,10.1999998092651,14.9000005722046,19.2000007629395,18.0166664123535,19.2000007629395,16.3666667938232,12,7,0,118.705131530762,12,0,12,0,-70.66672334,-17.43286997
"CARZO_62",63,17.7374992370605,11.7416667938232,78.8031311035156,113.099418640137,25.1000003814697,10.1999998092651,14.9000005722046,19.2000007629395,18.0166664123535,19.2000007629395,16.3666667938232,12,7,0,118.705131530762,12,0,12,0,-70.66674848,-17.43286955
"CARZO_63",64,17.7374992370605,11.7416667938232,78.8031311035156,113.099418640137,25.1000003814697,10.1999998092651,14.9000005722046,19.2000007629395,18.0166664123535,19.2000007629395,16.3666667938232,12,7,0,118.705131530762,12,0,12,0,-70.66675737,-17.43287601
